State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Grade,tempmax,tempmin,humidity,precip,uvindex
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,106.2,500,2500,1500,2023-06-30,FAQ,89.6,77.0,90.7,0.933,8
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,106.6,1500,3000,2300,2024-12-10,FAQ,71.4,47.2,62.0,0.0,6
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,106.9,2000,5000,3600,2024-08-02,FAQ,90.5,81.5,86.3,0.117,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,106.9,2500,5000,4400,2023-09-25,FAQ,94.1,77.0,72.4,0.0,8
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,107.0,2300,6000,4350,2024-11-20,FAQ,76.9,55.3,64.2,0.0,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,107.0,2400,7500,5800,2024-10-25,FAQ,91.4,68.0,61.8,0.0,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,107.3,500,1800,1500,2023-01-09,FAQ,63.9,43.6,91.8,0.0,6
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,107.4,1000,2500,1750,2023-06-05,FAQ,98.9,78.6,52.7,0.0,9
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,107.6,1500,3200,2650,2024-12-12,FAQ,70.8,42.3,56.7,0.0,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,108.1,1500,3500,2400,2025-03-06,FAQ,80.9,48.2,41.8,0.0,9
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,108.2,1500,3500,2750,2024-12-16,FAQ,72.9,42.2,68.5,0.0,6
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,108.2,4000,6000,5250,2024-09-16,FAQ,92.0,78.8,78.3,0.0,8
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,108.3,1500,2400,2050,2023-12-22,FAQ,71.4,46.4,76.1,0.0,6
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,108.7,1500,4000,2550,2024-02-16,FAQ,78.3,49.2,63.5,0.0,8
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,109.0,1500,3500,2500,2024-11-25,FAQ,77.7,59.0,69.7,0.0,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,109.0,1500,4000,2750,2023-11-08,FAQ,86.0,63.2,66.1,0.0,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,109.2,1000,3000,2050,2023-11-25,FAQ,77.0,54.6,69.8,0.0,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,109.3,1000,2000,1500,2025-03-15,FAQ,88.2,67.1,51.5,0.0,8
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,109.3,1500,3000,2100,2025-02-14,FAQ,78.5,48.2,51.3,0.0,8
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,109.7,200,1000,550,2023-12-11,FAQ,74.0,48.3,67.8,0.0,6
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,109.7,2000,5000,3450,2024-02-22,FAQ,77.0,56.8,51.6,0.0,8
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,109.8,3000,5000,4200,2023-10-09,FAQ,96.4,78.8,58.9,0.0,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,110.2,200,800,450,2023-04-27,FAQ,100.0,73.2,33.7,0.004,9
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,110.2,1500,3000,2050,2025-03-05,FAQ,75.5,50.0,50.9,0.0,9
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,110.4,1500,4000,2300,2024-02-10,FAQ,72.6,45.9,69.7,0.0,8
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,110.5,2400,6500,5000,2024-11-11,FAQ,88.0,65.7,72.3,0.0,6
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,110.8,1500,3000,2250,2025-06-21,FAQ,98.3,82.4,72.8,0.034,8
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,110.8,2000,6000,4150,2023-10-16,FAQ,83.9,70.4,59.6,0.039,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,111.0,1500,2500,1950,2023-11-06,FAQ,86.7,60.8,64.9,0.0,7
